topic,tweet_id,tweet,orig_stance,crowd_stance,crowd_logics
Donald Trump,1260,"Looking at presidential candidates, there is only one candidate, who can stand tall, and is all heads and shoulders. #Trump",FAVOR,3,"functional, beliefs, popular"
Feminist Movement,1835,Feminists don't even understand what feminism is.,AGAINST,-2,"beliefs, popular"
Feminist Movement,1574,"@moonsmuke Wow. A threat of violence from a feminist, when I've been nothing but polite. I might report this . . .",AGAINST,-2,"conventional, beliefs, moral"
Feminist Movement,1891,How much radical feminist does there have to be before feminist start rethinking their position about feminism?,AGAINST,-1,"functional, beliefs, moral"
Feminist Movement,2314,"What do you say to a woman with two black eyes?  Nothing, she's already been told twice.",AGAINST,-3,"functional, conventional, beliefs, moral"
Feminist Movement,1448,".@brigadam @KlaraJoelsson You just made the best case against feminist ""equality"" ever! Fuck feminism!",AGAINST,-3,"beliefs, popular, moral"
Feminist Movement,1734,Anyone find it funny that #Feminists use #TakeitLikeAMan when they don't want to understand what it means to be one?,AGAINST,-2,"beliefs, moral"
Donald Trump,948,@realDonaldTrump is such an idiot. He's risking way to much for something he'll never get.,AGAINST,-2,"functional, beliefs"
Donald Trump,1296,Only good thing about Trump's presidential run is that by the end of it he will be a billion or 2 short,AGAINST,-3,"beliefs, moral"
Feminist Movement,1617,@Ricky_Vaughn99  Why is it called HIStory and not HERstory ?!,FAVOR,2,"conventional, beliefs, moral"
Feminist Movement,1515,"@DaniBChristen Yes,a ""greater"" understanding because ur's is ""superior"" 2 mine LOL #IDontNeedFeminism",AGAINST,-3,"conventional, beliefs, popular, moral"
Feminist Movement,1563,@lucypalmreports I don't need feminism because I am pretty,AGAINST,-2,"functional, beliefs, popular"
Feminist Movement,1968,I'm going to walk you thru this @helen_a13 because I get feminists have NO idea what they are saying...  @BristolBen,AGAINST,-3,"functional, beliefs"
Feminist Movement,2080,"Men that want ""credit"" from women for being feminists are not feminists at all.  They're just men wanting more privileges #vaw #p2",FAVOR,0,"beliefs, popular, moral"
Feminist Movement,2279,"U can be a #feminist w/o bein a bitch, u can also embrace ur sexuality w/o having loose morals #EmpowerAllBodies #empoweringwomen",FAVOR,2,"functional, beliefs, moral"
Feminist Movement,1951,I think it's okay for a woman to take a mans name if she wants to. #genderequality,FAVOR,2,"beliefs, moral"
Donald Trump,1171,"Holy shit ,the @realDonaldTrump is one looney mother fucker.  He'll never make it to the first debate #sideshow",AGAINST,-3,beliefs
Feminist Movement,2359,"Women don't make 75% less than men for the same job. Women, on average, make less then men. Look it up feminazis. #EqualPayDay",AGAINST,-3,"functional, conventional, beliefs, moral"
Atheism,207,Celebrity atheism is beginning to irk me #initforthemoney,AGAINST,-1,"beliefs, popular, moral, financial"
Donald Trump,1439,You know Donald Trump is in deep when most Neo-Conservatives call him out on his bullsh*t speech.,AGAINST,-2,"functional, beliefs, popular"
Feminist Movement,1733,Anyone else starting to notice the general demographic of feminists is like fucking high-schoolers.,AGAINST,-2,"conventional, beliefs, popular, moral"
Donald Trump,1191,I like many entries in the 2016 Presidential race; but no one is more accomplished than Donald Trump. His cabinet will be full.,FAVOR,3,"functional, beliefs, popular"
Feminist Movement,1615,@randomtweetor i hate to break it to u bruh but women do get pretty for us. They get pretty to show other women #feminist,FAVOR,0,"beliefs, popular"
Feminist Movement,2386,YOU'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist,FAVOR,3,"conventional, moral"
Feminist Movement,1643,@thomas_RAL: Most feminists don't know what they are fighting for?! Most ego maniac's who want they're 15 minutes of fame. #c4news,AGAINST,-2,"beliefs, popular"
Donald Trump,1125,Donald Trump is the man lets get this man in the White House!!!,FAVOR,3,"beliefs, popular"
Feminist Movement,2209,Thanks to the work of people like @everydaysexism they are not only helping women but helping the whole of society,FAVOR,2,"beliefs, moral"
Donald Trump,1299,People: Donald Trump is a man who can lead this country into the future.,FAVOR,3,"functional, beliefs, moral"
Feminist Movement,2155,RT @WeNeedFeminism: I don't want to choose between having a family or having a career,FAVOR,2,"popular, moral"
Feminist Movement,2355,"Women are strong, women are smart, women are bold. #FeministsAreBeautifulisalovemovement",FAVOR,3,"beliefs, moral"
Feminist Movement,2158,"RT EmilAaslund: Dear third wave feminists: I hate you, not women. Get your definitions straight. #GamerGate #slipperyslope #NotYo...",AGAINST,-2,"beliefs, popular"
Feminist Movement,2239,The rule of attention is you always get both: wanted and unwanted. But Feminists hypocrites only want one. #GamerGate,AGAINST,-2,"beliefs, popular, moral"
Feminist Movement,1803,Evidence of the fossil record to creationists is the evidence against the wage gap to feminists.   #GamerGate,AGAINST,-3,"functional, beliefs"
Feminist Movement,2035,"It's not a pleasant world, where if you disagree with feminists, you have to fear for your life and freedoms",AGAINST,-3,"conventional, moral"
Atheism,529,"Religion lies on a collective apophenia, but you need certain conditions to keep it on and those are disappearing",FAVOR,2,beliefs
Feminist Movement,1934,I need feminism because I can't walk three blocks without getting cat called and a man asking me to get in his car .,FAVOR,2,"conventional, moral"
Donald Trump,1059,"#presidentialelection2016  Make plans to help your future now, so that later you don't regret it, again! Vote @realDonaldTrump",FAVOR,3,"beliefs, popular"
Donald Trump,994,@realDonaldTrump you're the man for the job #MakeAmericaGreatAgain,FAVOR,2,"functional, beliefs, popular"
Donald Trump,1052,#greta Trump is absolutely on fire right now! He is a good man with a great family. He is the medicine this country needs!,FAVOR,3,"functional, beliefs, moral"
Feminist Movement,1553,"@jowilliams293 Feminists, go to the gym, lose some weight and stop to blame society for everything",AGAINST,-3,"functional, beliefs, popular"
Feminist Movement,1883,"Hey first-world country white women bitching about gender inequality, you're going to be fine #killallmen",AGAINST,-2,"functional, beliefs, moral, sustainable"
Donald Trump,888,@NBCNews political correctness is killing the country! The Don is telling the truth!,FAVOR,3,"beliefs, moral"
Atheism,493,"Now, let's get SCOTUS to rule that ""Under God"" on the currency violates the Establishment Clause.  #freethinker",FAVOR,3,"conventional, beliefs"
Feminist Movement,1537,@foreigncorrespo And just because you can quote Simone doesn't mean you understand her. Modern femmie-nism is just whining.,AGAINST,-2,beliefs
Donald Trump,1163,Hey @MayorGregor thanks for letting a racist bigot build a giant tower with his name on it downtown. Real proud of ya.,AGAINST,-3,"beliefs, popular, moral"
Donald Trump,970,@realDonaldTrump Really? The perfect definition of ignorance... The perfect example of someone who does not know reality...,AGAINST,-3,"functional, beliefs"
Donald Trump,1020,@thehill @greta @realDonaldTrump Now You Know The Left Is Afraid Of A Executive Over Politicians < Hang In There Donald,FAVOR,3,"conventional, beliefs, moral"
Feminist Movement,1983,"If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots.",AGAINST,-3,"functional, beliefs, moral"
Donald Trump,980,@realDonaldTrump we need a president who cannot be bought.,FAVOR,3,"moral, financial"
Feminist Movement,2081,Men want women to take their name in marriage for male pride. Because female pride doesn't matter. #genderequality,FAVOR,2,"conventional, beliefs, moral"
Feminist Movement,2142,RT @KennyWarner: Look for our latest indiegogo campaign coming out soon to help turn young girls into great leaders. #womensrights,FAVOR,3,"beliefs, moral"
Feminist Movement,2168,Selective listening a #character trait of convenience #feminists,AGAINST,-2,"beliefs, moral"
Donald Trump,934,@realDonaldTrump he is a real leader and deserves to be President.,FAVOR,3,"functional, beliefs"
Feminist Movement,1678,#howtospotafeminist?  They are so sexually unattractive that even in a world of rapists they would always be safe.,AGAINST,-3,"beliefs, popular, moral"
Feminist Movement,1522,"@draumkunta also, sorry I'm too busy being a gorgeous feminist to give a shit about your beauty standards",FAVOR,3,"beliefs, moral"
Donald Trump,995,@realDonaldTrump your directness & honesty has moved you to the top of my list 4 #President2016! #TRUMPTRUTH,FAVOR,3,"beliefs, popular"
Feminist Movement,1966,I'm flabbergasted that #feminist are pointing out little things that No one gives a fuck about & cause am uproar,AGAINST,-2,"conventional, beliefs, popular, moral"
Donald Trump,1199,i want donald trump to win the presidency so bad. he cant be bought out like all the others. and he sticks to his convictions,FAVOR,3,"beliefs, popular, moral"
Donald Trump,1183,I feel like the 2016 Presidential race is @realDonaldTrump vs. Matropolis ie The Machine.    Lets defeat the machine,FAVOR,3,"beliefs, popular"
Feminist Movement,1546,"@HiddenTara No one wants to see #Feminists naked, so the petty, vindictive bytches want to drag everyone else down to their level.",AGAINST,-3,"beliefs, popular, moral"
